dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2020,continentExp
2020-01-12,1,12,2020,2682.0,111.0,Belgium,BE,BEL,11522440,Europe
2020-01-12,1,12,2020,3475.0,221.0,Bulgaria,BG,BGR,6951482,Europe
2020-01-12,1,12,2020,3937.0,143.0,Austria,AT,AUT,8901064,Europe
2020-01-12,1,12,2020,2900.0,75.0,Croatia,HR,HRV,4058165,Europe
2020-01-12,1,12,2020,9113.0,449.0,Poland,PL,POL,37958138,Europe
2020-01-12,1,12,2020,3951.0,154.0,Hungary,HU,HUN,9769526,Europe
2020-01-12,1,12,2020,2242.0,34.0,Lithuania,LT,LTU,2794090,Europe
2020-01-12,1,12,2020,20.0,0.0,Iceland,IS,ISL,364134,Europe
2020-01-12,1,12,2020,102.0,4.0,Malta,MT,MLT,514564,Europe
2020-01-12,1,12,2020,19347.0,785.0,Italy,IT,ITA,59641488,Europe
2020-01-12,1,12,2020,2983.0,69.0,Portugal,PT,PRT,10295909,Europe
2020-01-12,1,12,2020,1468.0,10.0,Denmark,DK,DNK,5822763,Europe
2020-01-12,1,12,2020,674.0,5.0,Luxembourg,LU,LUX,626108,Europe
2020-01-12,1,12,2020,524.0,3.0,Estonia,EE,EST,1328976,Europe
2020-01-12,1,12,2020,612.0,4.0,Latvia,LV,LVA,1907675,Europe
2020-01-12,1,12,2020,440.0,2.0,Finland,FI,FIN,5525292,Europe
2020-01-12,1,12,2020,8657.0,233.0,Spain,ES,ESP,47332614,Europe
2020-01-12,1,12,2020,4038.0,55.0,Netherlands,NL,NLD,17407585,Europe
2020-01-12,1,12,2020,318.0,0.0,Cyprus,CY,CYP,888005,Europe
2020-01-12,1,12,2020,362.0,2.0,Norway,NO,NOR,5367580,Europe
2020-01-13,13,1,2020,0.0,0.0,Finland,FI,FIN,5525292,Europe
2020-01-13,13,1,2020,2.0,0.0,Spain,ES,ESP,47332614,Europe
2020-01-14,14,1,2020,0.0,0.0,Finland,FI,FIN,5525292,Europe
2020-01-14,14,1,2020,0.0,0.0,Spain,ES,ESP,47332614,Europe
2020-01-15,15,1,2020,0.0,0.0,Finland,FI,FIN,5525292,Europe
2020-01-15,15,1,2020,1.0,0.0,Spain,ES,ESP,47332614,Europe
2020-01-16,16,1,2020,1.0,0.0,Spain,ES,ESP,47332614,Europe
2020-01-16,16,1,2020,0.0,0.0,Finland,FI,FIN,5525292,Europe
2020-01-17,17,1,2020,0.0,0.0,Finland,FI,FIN,5525292,Europe
2020-01-17,17,1,2020,1.0,0.0,Spain,ES,ESP,47332614,Europe
2020-01-18,18,1,2020,2.0,0.0,Spain,ES,ESP,47332614,Europe
2020-01-18,18,1,2020,0.0,0.0,Finland,FI,FIN,5525292,Europe
2020-01-19,19,1,2020,0.0,0.0,Spain,ES,ESP,47332614,Europe
2020-01-19,19,1,2020,0.0,0.0,Finland,FI,FIN,5525292,Europe
2020-01-20,20,1,2020,3.0,0.0,Spain,ES,ESP,47332614,Europe
2020-01-20,20,1,2020,0.0,0.0,Finland,FI,FIN,5525292,Europe
2020-01-21,21,1,2020,0.0,0.0,Finland,FI,FIN,5525292,Europe
2020-01-21,21,1,2020,0.0,0.0,Spain,ES,ESP,47332614,Europe
2020-01-22,22,1,2020,0.0,0.0,Spain,ES,ESP,47332614,Europe
2020-01-22,22,1,2020,0.0,0.0,Finland,FI,FIN,5525292,Europe
2020-01-23,23,1,2020,2.0,0.0,Spain,ES,ESP,47332614,Europe
2020-01-23,23,1,2020,0.0,0.0,Finland,FI,FIN,5525292,Europe
2020-01-23,23,1,2020,1.0,0.0,Germany,DE,DEU,83166711,Europe
2020-01-23,23,1,2020,1.0,0.0,France,FR,FRA,67320216,Europe
2020-01-24,24,1,2020,2.0,0.0,Spain,ES,ESP,47332614,Europe
2020-01-24,24,1,2020,0.0,0.0,Finland,FI,FIN,5525292,Europe
2020-01-24,24,1,2020,2.0,0.0,France,FR,FRA,67320216,Europe
2020-01-25,25,1,2020,1.0,0.0,Spain,ES,ESP,47332614,Europe
2020-01-25,25,1,2020,0.0,0.0,France,FR,FRA,67320216,Europe
2020-01-25,25,1,2020,0.0,0.0,Finland,FI,FIN,5525292,Europe
2020-01-26,26,1,2020,0.0,0.0,Finland,FI,FIN,5525292,Europe
2020-01-26,26,1,2020,0.0,0.0,France,FR,FRA,67320216,Europe
